username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2020-01-02 03:51;0;0;"how about Eli, Fractured, or The Sinner?";;;;"1212566971054727168";https://twitter.com/netflix/status/1212566971054727168
;2020-01-02 03:50;0;0;"Definitely check out The Irishman in Conversation if you're curious about the making of the film. Gangs of New York is a great film you might like as well, and if you want to spend some time with a series, for sure check out Peaky Blinders # WhatToWatchOnNetflix";;;#;"1212566901739704321";https://twitter.com/netflix/status/1212566901739704321
;2020-01-02 03:50;0;1;"The Highwayman and Hell or High Water are some awesome involving crime movies you could try next # whattowatchonnetflix";;;#;"1212566723167236096";https://twitter.com/netflix/status/1212566723167236096
;2020-01-02 03:48;0;1;"Can't blame you. Check out Lost in Space or Black Mirror - definitely enough to keep you going for a while.";;;;"1212566341829484549";https://twitter.com/netflix/status/1212566341829484549
;2020-01-02 03:47;1;7;"Check out Once or The 100 and Lucifer will always be there for backup.";;;;"1212566131216670720";https://twitter.com/netflix/status/1212566131216670720
;2020-01-02 03:47;0;1;"If you liked Living with Yourself, you'll love Dead to Me and Russian Doll! Also Maniac will take you on a trip.";;;;"1212566061725433856";https://twitter.com/netflix/status/1212566061725433856
;2020-01-02 03:47;0;2;"Give Dirty John and Dead to Me a shot for some more twisty-turny shock moments like You # whattowatchonnetflix";;;#;"1212566031677509632";https://twitter.com/netflix/status/1212566031677509632
;2020-01-02 03:46;0;1;"Drink some soda water and flip on Designated Survivor or Unbelievable. # WhatToWatchOnNetflix";;;#;"1212565745256816640";https://twitter.com/netflix/status/1212565745256816640
;2020-01-02 03:45;0;0;"how about The Witch or Eerie?";;;;"1212565672863117312";https://twitter.com/netflix/status/1212565672863117312
;2020-01-02 03:45;1;1;"Check out The Crown or Grace and Frankie. # WhatToWatchOnNetflix";;;#;"1212565467493220353";https://twitter.com/netflix/status/1212565467493220353
;2020-01-02 03:44;0;2;"Good Girls, The Final Table, New Girl, Shameless, Crashing, and Russian Doll. Ready? Go! # whattowatchonnetflix";;;#;"1212565243420971017";https://twitter.com/netflix/status/1212565243420971017
;2020-01-02 03:43;0;1;"Dead to Me makes me feel alive!";;;;"1212564986465267712";https://twitter.com/netflix/status/1212564986465267712
;2020-01-02 03:42;0;1;"So glad you liked it! Check out Narcos Mexico or Club de Cuervos. # WhatToWatchOnNetflix";;;#;"1212564789370724352";https://twitter.com/netflix/status/1212564789370724352
;2020-01-02 03:42;0;1;"how about Undercover Law or Monarca?";;;;"1212564759037595650";https://twitter.com/netflix/status/1212564759037595650
;2020-01-02 03:40;0;1;"You've gotta do Private Practice next! # WhatToWatchOnNetflix";;;#;"1212564414580346880";https://twitter.com/netflix/status/1212564414580346880
;2020-01-02 03:40;0;0;"Gilmore Girls or Family Reunion might be your next family-friendly obsession # whattowatchonnetflix";;;#;"1212564346045382657";https://twitter.com/netflix/status/1212564346045382657
;2020-01-02 03:40;0;0;"Well done. Check out The I-Land. When 10 people wake up on a treacherous island and have no memory, they soon discover this world is not as it seems. Seven episodes to fill the rest of your day. # WhatToWatchOnNetflix";;;#;"1212564259902828552";https://twitter.com/netflix/status/1212564259902828552
;2020-01-02 03:39;0;5;"If Renée Zellweger in a spooky thriller is your thing, you’re going to love What/If.";;;;"1212564015869759488";https://twitter.com/netflix/status/1212564015869759488
;2020-01-02 03:37;0;0;"If you like The Witcher check out Lost In Space - season 2 just came out. Black Mirror is also great when you have a week to go down the rabbit hole. # WhatToWatchOnNetflix";;;#;"1212563583940354048";https://twitter.com/netflix/status/1212563583940354048
;2020-01-02 03:37;1;4;"If you love beautiful animation (but for adults), check out I Lost My Body. If you want a great animated series for all, check out She-Ra & The Princesses of Power # whattowatchonnetflix";;;#;"1212563582774382593";https://twitter.com/netflix/status/1212563582774382593
;2020-01-02 03:34;0;1;"@ marvdory123 Second on The Crown. All hail.";;@;;"1212562868643811334";https://twitter.com/netflix/status/1212562868643811334
;2020-01-02 03:32;0;1;"I don't know if you have heard about The Irishman but it's a brand new Scorsese movie that it sounds like you may be interested in! DeNiro, Pesci, Pacino - need I say more? # whattowatchonnetflix";;;#;"1212562192899420161";https://twitter.com/netflix/status/1212562192899420161
;2020-01-02 03:28;38;1119;"Wow, what a day of recommendations. Thanks to our team of Netflix experts from all over the company and to you for your requests. Hope you all found a new obsession and have a happy 2020.";;;;"1212561296530427904";https://twitter.com/netflix/status/1212561296530427904
;2020-01-02 03:26;0;1;"Right?! What’s there not to love? You cried! You laughed! Another movie that will hit you with all the emotions is 50/50. # whattowatchonnetflix";;;#;"1212560684577411073";https://twitter.com/netflix/status/1212560684577411073
;2020-01-02 03:20;0;1;"You might like Shepards And Butchers! It's an expose of the shortcomings in the South African capital punishment system in the 1980s. Steven Coogan is EXCELLENT. Enjoy! # WhatToWatchOnNetflix";;;#;"1212559173378031616";https://twitter.com/netflix/status/1212559173378031616
;2020-01-02 03:19;0;1;"Interesting mix! Horns or Clash of the Titans come to mind. You also can’t go wrong with The Matrix. # whattowatchonnetflix";;;#;"1212559082667814912";https://twitter.com/netflix/status/1212559082667814912
;2020-01-02 03:15;0;2;"Check out Magic for Humans and if you can figure out how he does his tricks please let us know # whattowatchonnetflix";;;#;"1212558125309534208";https://twitter.com/netflix/status/1212558125309534208
;2020-01-02 03:14;0;1;"thank you for asking! Feeling resolute over here. Sorry to hear you're feeling "eh." A few episodes of The Umbrella Academy could lift your spirits. Hope you enjoy :) # whattowatchonnetflix";;;#;"1212557810489315329";https://twitter.com/netflix/status/1212557810489315329
;2020-01-02 03:12;0;0;"You two might really like Evil Genius: The True Story of America's Most Diabolical Bank Heist, give that a try next! Hope you and your boyfriend enjoy :) # WhatToWatchOnNetflix";;;#;"1212557182362955776";https://twitter.com/netflix/status/1212557182362955776
;2020-01-02 03:03;0;2;"Well we definitely hope you feel better. Watching Schitt's Creek and Kim's Convenience should help as well. # WhatToWatchOnNetflix";;;#;"1212554923499544576";https://twitter.com/netflix/status/1212554923499544576
;2020-01-02 03:03;0;1;"Hi mom! You two should watch Burlesque and then act it out. You can be Christina and mom can be Cher. It’ll be the best! # whattowatchonnetflix";;;#;"1212554918982230024";https://twitter.com/netflix/status/1212554918982230024
;2020-01-02 03:00;0;1;"Kingdom is a South Korean zombie show that is excellent! Also, check out the show Van Helsing for more vampire content. # WhatToWatchOnNetflix";;;#;"1212554247398662146";https://twitter.com/netflix/status/1212554247398662146
;2020-01-02 03:00;0;0;"Nobody could possibly have seen everything bingeworthy - the math simply does not work! With this in mind, have you seen Schitt's Creek? It's a classic in the making. # whattowatchonnetflix";;;#;"1212554101243940864";https://twitter.com/netflix/status/1212554101243940864
;2020-01-02 02:59;1;1;"Unbreakable Kimmy Schmidt is a VERY bingeworthy comedy with brilliant writing and The Sinner is an incredible murder mystery with a very unique story telling angle. Also try Collateral, which might just be exactly what you're looking for # WhatToWatchOnNetflix";;;#;"1212554067517546496";https://twitter.com/netflix/status/1212554067517546496
;2020-01-02 02:58;0;2;"that's a toughy, but Mindhunter might be just what you're looking for.";;;;"1212553604923609089";https://twitter.com/netflix/status/1212553604923609089
;2020-01-02 02:57;0;0;"You've got great taste! Try Criminal United Kingdom. A worthy successor to Happy Valley. # whattowatchonnetflix.";;;#;"1212553472647868416";https://twitter.com/netflix/status/1212553472647868416
;2020-01-02 02:57;0;1;"@ KarenSolis19 Lost in Space or The Last Kingdom forsure! # WhatToWatchOnNetflix";;@;#;"1212553397418831876";https://twitter.com/netflix/status/1212553397418831876
;2020-01-02 02:56;0;2;"If you like those shows, you will 100% LOVE The Good Place, which is clever and funny and really addicting! # whattowatchonnetflix";;;#;"1212553276165672960";https://twitter.com/netflix/status/1212553276165672960
;2020-01-02 02:55;1;1;"Seems like the perfect amount of time to get into a raunchy animated series like Big Mouth, or a dark drama like Ozark or Narcos. Also, if you like the character of Bojack, he's basically Don Draper from Mad Men, but a horse # whattowatchonnetflix";;;#;"1212553064160415744";https://twitter.com/netflix/status/1212553064160415744
;2020-01-02 02:54;0;3;"Ok so you definitely need a show as exciting as The Witcher --- Give Messiah a try # WhatToWatchOnNetflix";;;#;"1212552624010125312";https://twitter.com/netflix/status/1212552624010125312
;2020-01-02 02:52;1;4;"Give Ozark, Narcos and/or Lucifer a shot # whattowatchonnetflix";;;#;"1212552225077301248";https://twitter.com/netflix/status/1212552225077301248
;2020-01-02 02:52;0;1;"challenge accepted! For TV shows have you tapped into Derry Girls or Workin' Moms yet? As far as movies go I think you'd appreciate Snowpiercer and Obvious Child. # whattowatchonnetflix";;;#;"1212552125974224898";https://twitter.com/netflix/status/1212552125974224898
;2020-01-02 02:50;0;1;"So fun right? When you finish that, check out Dating Around # WhatToWatchOnNetflix";;;#;"1212551659894845440";https://twitter.com/netflix/status/1212551659894845440
;2020-01-02 02:50;0;2;"You should totally watch Grace and Frankie! It's really really funny but it's also touching and tragic - a true medley of emotions and Lily Tomlin/Jane Fonda/Martin Sheen/Sam Waterson as the stars...who could ask for more! # whattowatchonnetflix";;;#;"1212551622737485824";https://twitter.com/netflix/status/1212551622737485824
;2020-01-02 02:50;0;1;"The Hookup Plan is what you need to watch next. It has everything: male escorts, Paris, friends, school teachers. You won't regret it. # whattowatchonnetflix.";;;#;"1212551612134244352";https://twitter.com/netflix/status/1212551612134244352
;2020-01-02 02:49;1;3;"Check out The Mind, Explained and Unnatural Selection # whattowatchonnetflix";;;#;"1212551361809862656";https://twitter.com/netflix/status/1212551361809862656
;2020-01-02 02:47;0;4;"Someone was cutting onions in our house while we we're watching it too.";;;;"1212550966085636097";https://twitter.com/netflix/status/1212550966085636097
;2020-01-02 02:46;0;3;"The Witcher. If you want to keep the fantasy train rolling check out The Magicians, a kind of angsty grown up Harry Potter. If you're liking the medieval feel and larger than life battles, check out The Last Kingdom. # whattowatchonnetflix.";;;#;"1212550814813884416";https://twitter.com/netflix/status/1212550814813884416
;2020-01-02 02:46;0;1;"@ AmazighDaid Alright then! I'd give Ozark and Peaky Blinders a try for exciting stuff, and maybe a little Step Brothers for some comic relief. Enjoy the relaxation time, man! # whattowatchonnetflix";;@;#;"1212550756227862534";https://twitter.com/netflix/status/1212550756227862534
;2020-01-02 02:45;0;0;"@ marvdory123 Try The Crown";;@;;"1212550562878763010";https://twitter.com/netflix/status/1212550562878763010
;2020-01-02 02:45;0;1;"So now, you watch something new. Were thinking Dirty John or The End of the F***ing World. # WhatToWatchOnNetflix";;;#;"1212550546592276480";https://twitter.com/netflix/status/1212550546592276480
;2020-01-02 02:45;0;2;"We recommend Ozark, Outlander, and The Last Kingdom! # whattowatchonnetflix";;;#;"1212550379650658304";https://twitter.com/netflix/status/1212550379650658304
;2020-01-02 02:43;0;1;"The King is a period piece AND has Timothée Chalamet! Both boxes checked! # WhatToWatchOnNetflix";;;#;"1212549993753665538";https://twitter.com/netflix/status/1212549993753665538
;2020-01-02 02:37;0;1;"A classic holiday series, absolutely. If you're still in the mood, we'd recommend Messiah or The Witcher (also classic holiday series) # whattowatchonnetflix";;;#;"1212548416993144833";https://twitter.com/netflix/status/1212548416993144833
;2020-01-02 02:36;0;0;"Knives Out was incredible. If you want to keep the murder mystery theme going Handsome is a hilarious dark comedy. There's no Daniel Craig, but some may argue that Jeff Garlin is the original Daniel Criag. # WhatToWatchOnNetflix.";;;#;"1212548292334227457";https://twitter.com/netflix/status/1212548292334227457
;2020-01-02 02:36;0;1;"We love that you loved it! You all should watch Dead to Me, next # WhatToWatchOnNetflix";;;#;"1212548248805793795";https://twitter.com/netflix/status/1212548248805793795
;2020-01-02 02:36;0;4;"Try Chilling Adventures of Sabrina next! And if that's not your thing, check out After or Stranger Things, if you haven't yet # WhatToWatchOnNetflix";;;#;"1212548098641281024";https://twitter.com/netflix/status/1212548098641281024
;2020-01-02 02:35;0;0;"if by "exploring" you mean "getting lost" then I'd recommend Lost In Space! (Space is notoriously poorly mapped) # whattowatchonnetflix";;;#;"1212548026163761153";https://twitter.com/netflix/status/1212548026163761153
;2020-01-02 02:35;0;1;"@ BBBSJV Dead to Me is both! # WhatToWatchOnNetflix";;@;#;"1212547990856048641";https://twitter.com/netflix/status/1212547990856048641
;2020-01-02 02:32;10;92;"Have you watched Fuller House yet? If you dug Anne with an E or Gilmore Girls this should scratch that itch perfectly. # WhatToWatchOnNetflix.";;;#;"1212547283545468930";https://twitter.com/netflix/status/1212547283545468930
;2020-01-02 02:29;0;1;"Duck Butter, Newness, Below Her Mouth. Loving Annabelle ... Should we keep going ? # WhatToWatchOnNetflix";;;#;"1212546501681000448";https://twitter.com/netflix/status/1212546501681000448
;2020-01-02 02:29;0;1;"Check out On My Block and The Chilling Adventures of Sabrina! Both extremely addicting and binge-able, so perfect for having all that time # whattowatchonnetflix";;;#;"1212546391446343681";https://twitter.com/netflix/status/1212546391446343681
;2020-01-02 02:28;0;1;"We recommend watching another female heavy, comedy like Glow! # whattowatchonnetflix";;;#;"1212546223040802821";https://twitter.com/netflix/status/1212546223040802821
;2020-01-02 02:28;0;0;"Give Sabrina a shot! It's about a toy manufacturer and his wife who are terrorized by a demon, and it has the scary doll content you crave. # WhatToWatchOnNetflix";;;#;"1212546128794701830";https://twitter.com/netflix/status/1212546128794701830
;2020-01-02 02:27;0;2;"You can trade in The Good Place for Good Girls. It’ll be good! Promise. # whattowatchonnetflix";;;#;"1212545995332038658";https://twitter.com/netflix/status/1212545995332038658
;2020-01-02 02:27;0;0;"How about Taco Chronicles to wean off the suspense? Otherwise, Twice Upon A Time, Baby or The Innocents for more twists and scandals # WhatToWatchOnNetflix";;;#;"1212545984506580994";https://twitter.com/netflix/status/1212545984506580994
;2020-01-02 02:26;0;1;"hard to imagine better *mystery* solvers than *famous celebs* Adam Sandler and Jennifer Aniston solving a murder on a humongous yacht, right? Check out Murder Mystery! # whattowatchonnetflix";;;#;"1212545582469922817";https://twitter.com/netflix/status/1212545582469922817
;2020-01-02 02:21;0;0;"Then have you seen 1922? It is a bit of a slow burn, but it is based on the Stephen King novella and it is INCREDIBLE. The acting and production are top notch, you will not be disappointed. # WhatToWatchOnNetflix";;;#;"1212544429199937541";https://twitter.com/netflix/status/1212544429199937541
;2020-01-02 02:19;0;1;"Absolutely! If you like retired special operators with big guns and fast cars, look no further than the new Michael Bay movie 6 Underground! # whattowatchonnetflix";;;#;"1212543959295299585";https://twitter.com/netflix/status/1212543959295299585
;2020-01-02 02:19;0;0;"Olympus Has Fallen and 6 Underground would be a really fun double feature! # WhatToWatchOnNetflix";;;#;"1212543814352674816";https://twitter.com/netflix/status/1212543814352674816
